CID,Type,Impact,Status,First Detected,Owner,Classification,Severity,Action,Component,Category,File,Function,CWE
642213,Expression with no effect,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/components/other/btnSelectOnTable.tsx,<script>,398
641857,Expression with no effect,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/components/other/btnSelectOnTable.tsx,onClick,398
641934,Expression with no effect,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/components/other/btnNomination.tsx,<script>,398
642089,Logically dead code,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Control flow issues,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/components/other/btnGeneral.tsx,BtnGeneral,561
641813,Expression with no effect,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/components/other/btnDetailsOnTable.tsx,<script>,398
641831,Expression with no effect,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/components/other/btnDetailsGeneral.tsx,<script>,398
641915,Expression with no effect,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/components/other/btnActionInTable.tsx,<script>,398
641995,Expression with no effect,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/components/other/SearchForm.tsx,<script>,398
642160,Expression with no effect,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/components/other/ResponseModal.tsx,<script>,398
641772,Expression with no effect,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/components/other/ReactFlowLib.tsx,<script>,398
642250,Expression with no effect,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/components/other/InactivityTracker.tsx,<script>,398
642129,Expression with no effect,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/components/library/passwordStrong/PasswordStrong.tsx,<script>,398
